polygon_id,x,y
1,-253,245
1,-201.73224,318.9447
1,-79.20148,113.2562
1,-95,80
2,-201.73224,318.9447
2,-129.71066,372.8808
2,-52.31046,138.4046
2,-79.20148,113.2562
3,-129.71066,372.8808
3,-44.32821,401.2717
3,-18.07186,151.9429
3,-52.31046,138.4046
4,-44.32821,401.2717
4,45.65068,401.2031
4,18.74615,151.9857
4,-18.07186,151.9429
5,45.65068,401.2031
5,130.98976,372.6821
5,53.01618,138.5272
5,18.74615,151.9857
6,130.98976,372.6821
6,202.92906,318.6364
6,79.96569,113.4415
6,53.01618,138.5272
7,202.92906,318.6364
7,254.08408,244.6136
7,95.84161,80.2222
7,79.96569,113.4415
